description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Demande d'intervention : le logiciel de caisse ne fonctionne plus,software,reparation,critique,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.0
Intervention requise : le logiciel de caisse ne fonctionne plus Merci d'intervenir rapidement.,software,reparation,haute,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Mise en place d'un réseau local pour bureaux Le client est inquiet.,reseau,installation,normale,Surcharge de la bande passante,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,2.0
Suite à un appel client : le téléphone ip ne se connecte plus Problème urgent.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,4.0
Problème signalé : windows demande une activation non valide Le client est inquiet.,software,reparation,faible,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Suite à un appel client : le téléphone ip ne se connecte plus Le client a besoin d'aide.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.5
L'alimentation électrique ne démarre pas,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,1.5
Le client indique que configuration d'un nouveau point d'accès WiFi Cela bloque le travail.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,5.0
La carte graphique ne s'affiche plus Cela bloque le travail.,hardware,maintenance,faible,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Signalement client : mise en place d'un réseau local pour bureaux Problème urgent.,reseau,installation,faible,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,5.0
Problème signalé : la pile cmos est vide l'heure se réinitialise depuis ce matin.,hardware,reparation,normale,Connexion interne défaillante,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Client signale : le touchpad du laptop est bloqué Cela se produit souvent.,hardware,reparation,critique,Composant électronique endommagé,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
La carte graphique affiche des artefacts depuis ce matin.,hardware,reparation,normale,Connexion interne défaillante,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.5
Le processeur surchauffe pc très lent Cela se produit souvent.,hardware,maintenance,haute,Dommage physique suite à choc,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Demande d'intervention : windows à réinstaller suite à corruption Cela se produit souvent.,software,installation,critique,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Signalement client : configuration du proxy pour internet Le client a besoin d'aide.,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.5
Le client se plaint que configuration d'un réseau WiFi sécurisé WPA3 Le client a besoin d'aide.,reseau,configuration,faible,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.0
Configuration d'un nouveau point d'accès WiFi depuis hier.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,2.0
Le client indique que le réseau sans fil ne couvre pas tous les bureaux Le client est inquiet.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,4.0
Client signale : configuration d'un réseau wifi sécurisé wpa3 Cela se produit souvent.,reseau,configuration,normale,Câblage endommagé ou mal branché,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.5
Demande d'intervention : le haut-parleur ne produit aucun son depuis hier.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Signalement client : l'imprimante ne reconnaît plus le papier Cela se produit souvent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.0
Le client se plaint que problème de DNS sites web ne chargent pas Le client est inquiet.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,2.0
Problème signalé : le système est bloqué en mode sans échec depuis ce matin.,software,installation,critique,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,2.0
L'ordinateur est infecté par un ransomware,software,reparation,critique,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.5
Le client indique que le logiciel de facturation perd ses données depuis hier.,software,reparation,faible,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.5
Le client se plaint que impossible d'installer un logiciel Problème urgent.,software,installation,normale,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Le client se plaint que installation d'un nouveau routeur fibre Merci d'intervenir rapidement.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Vérifier régulièrement les câbles et connexions réseau.,2.0
Signalement client : le système de sauvegarde automatique est arrêté depuis hier.,software,installation,faible,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,2.0
Client signale : installation d'un câble fibre optique depuis ce matin.,reseau,installation,faible,Surcharge de la bande passante,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,5.0
Intervention requise : l'alimentation électrique ne démarre pas Cela se produit souvent.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Microsoft Office ne s'ouvre plus Cela se produit souvent.,software,reparation,faible,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Le client se plaint que la carte mère émet des bips au démarrage,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Problème signalé : le disque dur fait un bruit de cliquetis depuis hier.,hardware,maintenance,haute,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.0
Suite à un appel client : l'ordinateur est infecté par un virus Problème urgent.,software,reparation,haute,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Le disque dur externe n'est plus reconnu Merci d'intervenir rapidement.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.5
Le client indique que le processeur est surchargé température critique Cela se produit souvent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,3.0
Suite à un appel client : l'antivirus ne peut pas supprimer les menaces Merci d'intervenir rapidement.,software,reparation,critique,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.0
Signalement client : les drivers de la carte graphique sont corrompus depuis hier.,software,reparation,normale,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,3.0
Le client se plaint que la carte graphique affiche des artefacts Le client est inquiet.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Client signale : l'ordinateur est infecté par un ransomware depuis ce matin.,software,configuration,critique,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Migration de Windows 7 vers Windows 10,software,installation,faible,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Le client se plaint que la souris ne répond plus depuis hier.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.0
Intervention requise : l'ordinateur chauffe excessivement,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Client signale : la charnière du laptop est cassée,hardware,reparation,faible,Dommage physique suite à choc,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Problème signalé : installation d'un nouveau système d'exploitation Le client a besoin d'aide.,software,installation,normale,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.0
Signalement client : mise en place d'un réseau local pour bureaux depuis ce matin.,reseau,installation,faible,Équipement réseau défaillant,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,5.0
Le WiFi est très lent et instable Le client est inquiet.,reseau,depannage,haute,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Documenter la configuration réseau pour faciliter les interventions futures.,1.5
Client signale : le réseau sans fil ne couvre pas tous les bureaux depuis hier.,reseau,configuration,faible,Câblage endommagé ou mal branché,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,2.5
Suite à un appel client : l'antivirus ne peut pas supprimer les menaces Cela se produit souvent.,software,reparation,critique,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,2.5
Le serveur NAS n'est plus accessible,reseau,depannage,normale,Surcharge de la bande passante,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Signalement client : windows update bloqué depuis plusieurs jours,software,configuration,critique,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.5
Le client indique que configuration des droits d'accès utilisateurs depuis hier.,software,configuration,normale,Licence expirée ou fichiers corrompus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Installer un antivirus fiable et le maintenir à jour.,1.0
Intervention requise : l'écran affiche des lignes horizontales,hardware,maintenance,normale,Composant électronique endommagé,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.0
Le client indique que la connexion WiFi se déconnecte souvent Problème urgent.,reseau,depannage,haute,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Surveiller la bande passante et optimiser l'utilisation.,1.0
Nettoyage complet du système après infection depuis hier.,software,installation,critique,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Le disque dur fait un bruit de cliquetis Le client est inquiet.,hardware,maintenance,haute,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Suite à un appel client : la batterie du laptop ne charge plus Le client a besoin d'aide.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Partage d'imprimante réseau impossible Merci d'intervenir rapidement.,reseau,configuration,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,2.5
Impossible d'accéder à certains dossiers,software,installation,faible,Mise à jour défectueuse du système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,0.5
Problème signalé : mise en place d'un réseau local pour bureaux,reseau,installation,faible,Problème de sécurité réseau,Réseau,"[""Point d'accès WiFi""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,5.0
Demande d'intervention : le processeur surchauffe pc très lent Cela bloque le travail.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,0.5
Intervention requise : le port usb ne détecte plus les périphériques Merci d'intervenir rapidement.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Le firewall bloque le trafic légitime Merci d'intervenir rapidement.,reseau,installation,normale,Problème de sécurité réseau,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,4.0
Signalement client : le pare-feu bloque une application métier depuis ce matin.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,0.5
La RAM est défectueuse écrans bleus fréquents Le client a besoin d'aide.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,0.5
Client signale : le système affiche une erreur de registre,software,reparation,haute,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Intervention requise : le scanner ne détecte plus les documents Problème urgent.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Remplacer la pâte thermique tous les 2 ans.,0.5
Le routeur ne distribue plus d'adresses IP depuis hier.,reseau,installation,faible,Surcharge de la bande passante,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,3.0
Intervention requise : sécurisation contre les intrusions réseau Merci d'intervenir rapidement.,reseau,installation,normale,Surcharge de la bande passante,Réseau,"[""Routeur fibre""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,2.0
Signalement client : perte de paquets réseau fréquente Le client a besoin d'aide.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Surveiller la bande passante et optimiser l'utilisation.,2.0
Intervention requise : le wifi est très lent et instable depuis ce matin.,reseau,depannage,haute,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,0.5
Suite à un appel client : l'ordinateur est très lent au démarrage Le client a besoin d'aide.,software,configuration,haute,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Impossible d'accéder au serveur de fichiers Le client est inquiet.,reseau,depannage,normale,Problème de sécurité réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,0.5
Signalement client : la carte mère émet des bips au démarrage,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
L'écran tactile ne répond plus depuis hier.,hardware,reparation,haute,Vieillissement de la batterie,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.0
Outlook ne se synchronise plus avec le mail Cela se produit souvent.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,2.0
Problème signalé : l'écran tactile ne répond plus Le client a besoin d'aide.,hardware,maintenance,haute,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.5
Problème signalé : le chargeur du laptop est cassé Problème urgent.,hardware,reparation,faible,Connexion interne défaillante,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.0
Suite à un appel client : migration de windows 7 vers windows 10 Le client est inquiet.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,1.5
Demande d'intervention : le bloc d'alimentation émet des odeurs Problème urgent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,1.0
Le client se plaint que le logiciel de facturation perd ses données depuis hier.,software,reparation,normale,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.5
Suite à un appel client : les fichiers ont disparu après une mise à jour Merci d'intervenir rapidement.,software,installation,faible,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Impossible d'accéder à certains dossiers,software,installation,normale,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,2.0
Demande d'intervention : le ventilateur fait un bruit très fort Cela se produit souvent.,hardware,maintenance,normale,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Le client indique que le logiciel de caisse ne fonctionne plus Cela se produit souvent.,software,reparation,critique,Erreur de configuration système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,1.0
Outlook ne se synchronise plus avec le mail,software,configuration,normale,Mise à jour défectueuse du système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,0.5
Suite à un appel client : mise en place d'un réseau local pour bureaux depuis ce matin.,reseau,installation,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,3.0
Client signale : la box internet clignote en rouge,reseau,configuration,faible,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,2.0
Suite à un appel client : le logiciel de facturation perd ses données Le client a besoin d'aide.,software,reparation,normale,Conflit entre logiciels installés,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Intervention requise : configuration des droits d'accès utilisateurs,software,configuration,faible,Erreur de configuration système,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Le client se plaint que le disque SSD n'est plus reconnu par le BIOS Problème urgent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Impossible d'installer un logiciel depuis ce matin.,software,installation,faible,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,1.0
Client signale : configuration d'un serveur dhcp depuis ce matin.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,[],"Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.0
Signalement client : écran bleu fréquent ram peut-être défectueuse Problème urgent.,hardware,maintenance,critique,Surchauffe causée par poussière accumulée,Hardware,[],Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.5
Windows Update bloqué depuis plusieurs jours Problème urgent.,software,reparation,critique,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,3.0
Le client se plaint que migration de Windows 7 vers Windows 10,software,reparation,normale,Licence expirée ou fichiers corrompus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,3.0
Intervention requise : l'imprimante imprime des pages vides Le client est inquiet.,hardware,reparation,normale,Connexion interne défaillante,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,2.5
Problème signalé : le lecteur cd dvd n'ouvre plus,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Utiliser un onduleur pour protéger contre les coupures et surtensions.,1.0
Client signale : le routeur ne distribue plus d'adresses ip depuis ce matin.,reseau,depannage,faible,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,0.5
Le client se plaint que impossible d'accéder à certains dossiers Le client est inquiet.,software,configuration,normale,Conflit entre logiciels installés,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Signalement client : impossible d'accéder à certains dossiers depuis ce matin.,software,reparation,normale,Infection par malware ou virus,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Installer un antivirus fiable et le maintenir à jour.,1.0
