description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires
Signalement client : redirection de port sur le routeur Le client a besoin d'aide.,reseau,depannage,faible,Équipement réseau défaillant,Généraliste,[]
"Écran bleu fréquent, RAM peut-être défectueuse depuis ce matin.",hardware,reparation,haute,Surchauffe causée par poussière accumulée,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Intervention requise : mise en place d'un réseau local pour bureaux Problème urgent.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Point d'accès WiFi""]"
Client signale : l'imprimante bourre constamment le papier Problème urgent.,hardware,reparation,haute,Court-circuit dans l'alimentation,Généraliste,"[""Connecteur de charge""]"
Le client indique que le réseau est trop lent pour la vidéoconférence Problème récurrent.,reseau,installation,faible,Problème de sécurité réseau,Généraliste,"[""Routeur fibre""]"
Intervention requise : sauvegarde et restauration après panne Problème urgent.,software,installation,faible,Surcharge mémoire et fragmentation,Software,[]
Client signale : le câble d'alimentation est endommagé Problème urgent.,hardware,maintenance,haute,Vieillissement de la batterie,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Problème signalé : le logiciel de caisse ne fonctionne plus,software,installation,critique,Erreur de configuration système,Généraliste,[]
Problème signalé : la batterie gonfle et déforme le boîtier,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Carte mère""]"
L'ordinateur chauffe excessivement depuis ce matin.,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Généraliste,[]
Client signale : le wifi est très lent et instable depuis hier.,reseau,depannage,haute,Câblage endommagé ou mal branché,Généraliste,"[""Câble RJ45 5m""]"
Intervention requise : l'écran affiche des lignes horizontales Problème urgent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Disque dur HDD 1TB""]"
Problème signalé : migration de windows 7 vers windows 10 Cela se produit souvent.,software,configuration,faible,Conflit entre logiciels installés,Généraliste,[]
Client signale : configuration qos pour prioriser les appels Problème récurrent.,reseau,configuration,normale,Surcharge de la bande passante,Généraliste,[]
Client signale : perte de paquets réseau fréquente Problème récurrent.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 8 ports""]"
Problème signalé : câblage réseau rj45 à installer depuis ce matin.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Généraliste,[]
Intervention requise : l'imprimante imprime des pages vides,hardware,reparation,faible,Court-circuit dans l'alimentation,Généraliste,"[""Carte mère""]"
Intervention requise : le réseau local est très lent Cela se produit souvent.,reseau,configuration,haute,Problème de sécurité réseau,Réseau,[]
Client signale : problème de routage entre deux sites Problème récurrent.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Point d'accès WiFi""]"
Signalement client : l'ordinateur est infecté par un virus Problème récurrent.,software,reparation,critique,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que le disque dur externe n'est plus reconnu depuis ce matin.,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : configuration du démarrage automatique Problème urgent.,software,reparation,faible,Conflit entre logiciels installés,Généraliste,[]
Impossible d'installer un logiciel,software,installation,normale,Infection par malware ou virus,Software,[]
Client signale : impossible d'accéder au serveur de fichiers depuis ce matin.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Point d'accès WiFi""]"
Intervention requise : l'écran reste noir après allumage,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,[]
Signalement client : la carte mère émet des bips au démarrage Problème urgent.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Clavier laptop""]"
Le client indique que configuration d'un réseau invité séparé Problème urgent.,reseau,configuration,normale,Câblage endommagé ou mal branché,Généraliste,[]
Configuration accès distant RDP Problème urgent.,reseau,configuration,normale,Équipement réseau défaillant,Réseau,"[""Switch 8 ports""]"
Le client indique que problème de compatibilité après mise à jour Le client a besoin d'aide.,software,reparation,normale,Erreur de configuration système,Software,[]
Problème signalé : la charnière du laptop est cassée Problème urgent.,hardware,reparation,faible,Court-circuit dans l'alimentation,Hardware,"[""RAM DDR4 8GB""]"
"Le client indique que boucle réseau détectée, réseau instable depuis hier.",reseau,configuration,haute,Surcharge de la bande passante,Généraliste,"[""Câble RJ45 5m""]"
Problème signalé : l'ordinateur ne démarre plus du tout Problème récurrent.,hardware,maintenance,haute,Composant électronique endommagé,Hardware,"[""Pâte thermique""]"
Signalement client : l'imprimante bourre constamment le papier Cela se produit souvent.,hardware,maintenance,normale,Dommage physique suite à choc,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que mise à jour du firmware du routeur depuis ce matin.,reseau,configuration,normale,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]"
Problème signalé : impossible d'installer un logiciel Le client a besoin d'aide.,software,reparation,faible,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que les drivers de la carte graphique sont corrompus Cela se produit souvent.,software,configuration,faible,Conflit entre logiciels installés,Généraliste,[]
Client signale : windows à réinstaller suite à corruption Le client a besoin d'aide.,software,configuration,critique,Mise à jour défectueuse du système,Généraliste,[]
Intervention requise : l'imprimante ne reconnaît plus le papier,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,[]
Intervention requise : le réseau est trop lent pour la vidéoconférence Le client a besoin d'aide.,reseau,installation,faible,Problème de sécurité réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Le disque dur externe n'est plus reconnu Problème récurrent.,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : configuration du proxy pour internet Problème récurrent.,reseau,depannage,faible,Mauvaise configuration des paramètres réseau,Généraliste,"[""Switch 8 ports""]"
Problème signalé : la carte graphique affiche des artefacts,hardware,reparation,faible,Connexion interne défaillante,Généraliste,"[""Câble d'alimentation""]"
Client signale : l'écran tactile ne répond plus,hardware,maintenance,normale,Composant électronique endommagé,Hardware,[]
Le disque SSD n'est plus reconnu par le BIOS depuis ce matin.,hardware,maintenance,faible,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]"
Intervention requise : configuration du pare-feu pour accès externe Problème urgent.,reseau,configuration,faible,Problème de sécurité réseau,Généraliste,"[""Câble RJ45 5m""]"
Client signale : l'écran du laptop est fissuré Le client a besoin d'aide.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""RAM DDR4 8GB""]"
Le client indique que le bouton d'alimentation ne répond plus Problème récurrent.,hardware,reparation,normale,Vieillissement de la batterie,Généraliste,"[""Alimentation 500W""]"
Intervention requise : l'écran reste noir après allumage Le client a besoin d'aide.,hardware,maintenance,faible,Dommage physique suite à choc,Hardware,[]
Signalement client : microsoft office ne s'ouvre plus Problème urgent.,software,configuration,critique,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que le disque SSD n'est plus reconnu par le BIOS Problème récurrent.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Le client indique que la carte réseau intégrée ne fonctionne plus Problème urgent.,hardware,maintenance,critique,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Sécurisation contre les intrusions réseau Le client a besoin d'aide.,reseau,configuration,faible,Surcharge de la bande passante,Réseau,"[""Câble RJ45 5m""]"
Client signale : configuration du pare-feu pour accès externe depuis ce matin.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]"
Problème signalé : mise en place d'un réseau wifi sécurisé Problème récurrent.,reseau,configuration,faible,Incompatibilité de protocoles réseau,Généraliste,"[""Switch 8 ports""]"
Le serveur NAS n'est plus accessible Problème urgent.,reseau,configuration,faible,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Client signale : problème de routage entre deux sites,reseau,depannage,faible,Interférence WiFi avec autres équipements,Réseau,[]
Le client indique que sauvegarde et restauration après panne,software,reparation,faible,Corruption du système d'exploitation,Généraliste,[]
Client signale : le navigateur redirige vers des sites inconnus,software,configuration,normale,Erreur de configuration système,Généraliste,[]
Intervention requise : le clavier ne fonctionne plus,hardware,reparation,critique,Dommage physique suite à choc,Généraliste,"[""Disque SSD 256GB"", ""Câble SATA""]"
Problème signalé : remplacement d'un switch défaillant depuis hier.,reseau,depannage,faible,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]"
"Problème signalé : la pile cmos est vide, l'heure se réinitialise Problème récurrent.",hardware,maintenance,faible,Court-circuit dans l'alimentation,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Problème signalé : l'ordinateur est infecté par un virus Cela se produit souvent.,software,configuration,critique,Corruption du système d'exploitation,Software,[]
Intervention requise : configuration des droits d'accès utilisateurs,software,installation,faible,Infection par malware ou virus,Software,[]
Problème signalé : l'écran tactile ne répond plus Problème urgent.,hardware,maintenance,haute,Composant électronique endommagé,Hardware,"[""Pâte thermique""]"
Signalement client : les fichiers ont disparu après une mise à jour Cela se produit souvent.,software,configuration,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
Le client indique que installation d'un nouveau système d'exploitation Problème récurrent.,software,reparation,normale,Conflit entre logiciels installés,Généraliste,[]
Le disque SSD n'est plus reconnu par le BIOS Cela se produit souvent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Batterie laptop""]"
Client signale : l'écran tactile ne répond plus depuis hier.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Câble d'alimentation""]"
Intervention requise : l'imprimante bourre constamment le papier Le client a besoin d'aide.,hardware,maintenance,haute,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Signalement client : configuration accès distant rdp depuis hier.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,"[""Switch 8 ports""]"
Le chargeur du laptop est cassé Le client a besoin d'aide.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""Alimentation 500W""]"
Intervention requise : l'imprimante bourre constamment le papier Problème récurrent.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,[]
L'antivirus ne peut pas supprimer les menaces depuis ce matin.,software,reparation,critique,Corruption du système d'exploitation,Software,[]
Problème signalé : le profil utilisateur est corrompu depuis hier.,software,installation,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Client signale : l'écran reste noir après allumage depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : problème de compatibilité après mise à jour depuis hier.,software,reparation,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Intervention requise : le wifi est très lent et instable depuis hier.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Point d'accès WiFi""]"
Problème signalé : redirection de port sur le routeur depuis hier.,reseau,installation,faible,Incompatibilité de protocoles réseau,Réseau,"[""Routeur fibre""]"
La connexion WiFi se déconnecte souvent depuis hier.,reseau,configuration,normale,Équipement réseau défaillant,Généraliste,[]
Signalement client : le disque ssd n'est plus reconnu par le bios Cela se produit souvent.,hardware,maintenance,faible,Composant électronique endommagé,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Signalement client : le disque dur externe n'est plus reconnu Problème récurrent.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""RAM DDR4 8GB""]"
Le client indique que les mises à jour automatiques échouent Problème urgent.,software,reparation,faible,Surcharge mémoire et fragmentation,Généraliste,[]
Le bloc d'alimentation émet des odeurs depuis hier.,hardware,maintenance,faible,Vieillissement de la batterie,Généraliste,[]
Problème signalé : désinstallation impossible d'un logiciel depuis hier.,software,configuration,faible,Erreur de configuration système,Généraliste,[]
Signalement client : l'imprimante bourre constamment le papier Cela se produit souvent.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : le chargeur du laptop est cassé Problème urgent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Batterie laptop""]"
Client signale : la charnière du laptop est cassée Problème récurrent.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Hardware,"[""Pâte thermique""]"
Problème signalé : le profil utilisateur est corrompu Cela se produit souvent.,software,configuration,normale,Corruption du système d'exploitation,Généraliste,[]
Problème signalé : configuration du démarrage automatique Problème urgent.,software,configuration,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Problème signalé : l'imprimante imprime des pages vides,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Écran LCD 15.6\""""]"
Signalement client : impossible d'installer un logiciel Problème récurrent.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[]
L'ordinateur est infecté par un ransomware,software,reparation,critique,Erreur de configuration système,Software,[]
Intervention requise : windows demande une activation non valide depuis ce matin.,software,configuration,normale,Surcharge mémoire et fragmentation,Généraliste,[]
Client signale : la batterie gonfle et déforme le boîtier Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
"Problème signalé : le processeur surchauffe, pc très lent Problème récurrent.",hardware,reparation,haute,Court-circuit dans l'alimentation,Hardware,"[""Batterie laptop""]"
Client signale : le chargeur du laptop est cassé Le client a besoin d'aide.,hardware,reparation,normale,Court-circuit dans l'alimentation,Généraliste,[]
Signalement client : le logiciel de caisse ne fonctionne plus Problème récurrent.,software,reparation,critique,Infection par malware ou virus,Généraliste,[]
Client signale : la carte réseau intégrée ne fonctionne plus Problème urgent.,hardware,maintenance,haute,Défaillance matérielle due à l'usure,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : sécurisation contre les intrusions réseau depuis ce matin.,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Switch 8 ports""]"
Problème signalé : l'ordinateur est infecté par un ransomware Problème urgent.,software,installation,haute,Surcharge mémoire et fragmentation,Généraliste,[]
Mise à jour du firmware du routeur Cela se produit souvent.,reseau,configuration,faible,Équipement réseau défaillant,Généraliste,[]
Le client indique que configuration des droits d'accès utilisateurs Cela se produit souvent.,software,configuration,faible,Infection par malware ou virus,Généraliste,[]
Problème signalé : le disque dur externe n'est plus reconnu depuis hier.,hardware,maintenance,normale,Court-circuit dans l'alimentation,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : impossible d'installer un logiciel,software,installation,normale,Corruption du système d'exploitation,Généraliste,[]
Client signale : l'écran affiche des lignes horizontales,hardware,maintenance,normale,Composant électronique endommagé,Généraliste,"[""Pâte thermique""]"
Deux réseaux à fusionner après déménagement depuis ce matin.,reseau,depannage,normale,Câblage endommagé ou mal branché,Généraliste,"[""Switch 8 ports""]"
Le port USB ne détecte plus les périphériques depuis hier.,hardware,maintenance,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : configuration d'un nouveau point d'accès wifi depuis ce matin.,reseau,installation,faible,Incompatibilité de protocoles réseau,Généraliste,"[""Point d'accès WiFi""]"
Le client indique que configuration QoS pour prioriser les appels depuis ce matin.,reseau,depannage,normale,Incompatibilité de protocoles réseau,Généraliste,"[""Switch 8 ports""]"
Configuration du pare-feu pour accès externe depuis hier.,reseau,installation,normale,Surcharge de la bande passante,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]"
Problème signalé : la charnière du laptop est cassée Problème urgent.,hardware,maintenance,faible,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Signalement client : deux réseaux à fusionner après déménagement Le client a besoin d'aide.,reseau,depannage,faible,Surcharge de la bande passante,Réseau,"[""Switch 8 ports""]"
Client signale : outlook ne se synchronise plus avec le mail Cela se produit souvent.,software,installation,normale,Mise à jour défectueuse du système,Software,[]
Intervention requise : le firewall bloque le trafic légitime,reseau,configuration,faible,Équipement réseau défaillant,Généraliste,[]
Signalement client : le disque dur externe n'est plus reconnu Le client a besoin d'aide.,hardware,reparation,faible,Vieillissement de la batterie,Hardware,"[""Clavier laptop""]"
Le client indique que la carte réseau intégrée ne fonctionne plus,hardware,maintenance,critique,Défaillance matérielle due à l'usure,Généraliste,[]
Client signale : perte de paquets réseau fréquente depuis ce matin.,reseau,configuration,normale,Surcharge de la bande passante,Réseau,"[""Câble RJ45 5m""]"
Problème signalé : le logiciel de caisse ne fonctionne plus depuis ce matin.,software,installation,critique,Infection par malware ou virus,Généraliste,[]
"Signalement client : pas de connexion internet, câble branché",reseau,depannage,faible,Câblage endommagé ou mal branché,Généraliste,"[""Switch 8 ports""]"
Deux réseaux à fusionner après déménagement,reseau,depannage,faible,Incompatibilité de protocoles réseau,Généraliste,"[""Câble RJ45 5m""]"
Signalement client : l'imprimante bourre constamment le papier Problème récurrent.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,"[""RAM DDR4 8GB""]"
La webcam intégrée n'est plus détectée Cela se produit souvent.,hardware,maintenance,normale,Vieillissement de la batterie,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Problème signalé : l'ordinateur chauffe excessivement depuis ce matin.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Hardware,"[""Clavier laptop""]"
Intervention requise : microsoft office ne s'ouvre plus Problème récurrent.,software,installation,critique,Licence expirée ou fichiers corrompus,Software,[]
Problème signalé : redirection de port sur le routeur,reseau,depannage,normale,Interférence WiFi avec autres équipements,Généraliste,"[""Câble RJ45 5m""]"
"Signalement client : écran bleu fréquent, ram peut-être défectueuse depuis hier.",hardware,reparation,critique,Dommage physique suite à choc,Hardware,"[""Disque dur HDD 1TB""]"
Client signale : le connecteur de charge est endommagé Le client a besoin d'aide.,hardware,reparation,haute,Défaillance matérielle due à l'usure,Hardware,[]
Le port USB ne détecte plus les périphériques Problème urgent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Connecteur de charge""]"
Le client indique que le PC redémarre aléatoirement Problème urgent.,hardware,maintenance,normale,Composant électronique endommagé,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]"
Client signale : le système est bloqué en mode sans échec,software,configuration,haute,Corruption du système d'exploitation,Généraliste,[]
Client signale : le logiciel de caisse ne fonctionne plus,software,installation,haute,Licence expirée ou fichiers corrompus,Généraliste,[]
Client signale : le navigateur redirige vers des sites inconnus Problème urgent.,software,configuration,faible,Mise à jour défectueuse du système,Software,[]
Le bouton d'alimentation ne répond plus Cela se produit souvent.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : le connecteur de charge est endommagé Le client a besoin d'aide.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Pâte thermique""]"
Le connecteur de charge est endommagé Cela se produit souvent.,hardware,maintenance,haute,Vieillissement de la batterie,Hardware,"[""Pâte thermique""]"
Le chargeur du laptop est cassé Cela se produit souvent.,hardware,reparation,normale,Vieillissement de la batterie,Généraliste,"[""Alimentation 500W""]"
Le bloc d'alimentation émet des odeurs,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""RAM DDR4 8GB""]"
"Client signale : la pile cmos est vide, l'heure se réinitialise Le client a besoin d'aide.",hardware,reparation,normale,Vieillissement de la batterie,Généraliste,[]
Client signale : le connecteur de charge est endommagé depuis ce matin.,hardware,maintenance,normale,Connexion interne défaillante,Hardware,[]
Configuration d'un serveur DHCP depuis hier.,reseau,depannage,normale,Équipement réseau défaillant,Réseau,[]
Intervention requise : le routeur ne distribue plus d'adresses ip depuis hier.,reseau,depannage,faible,Équipement réseau défaillant,Généraliste,[]
Client signale : la carte mère émet des bips au démarrage Problème urgent.,hardware,reparation,normale,Dommage physique suite à choc,Hardware,"[""Alimentation 500W""]"
Intervention requise : l'ordinateur s'éteint tout seul depuis hier.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Alimentation 500W""]"
Le câble d'alimentation est endommagé Problème urgent.,hardware,maintenance,haute,Vieillissement de la batterie,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : configuration du démarrage automatique Cela se produit souvent.,software,reparation,normale,Erreur de configuration système,Généraliste,[]
Signalement client : windows demande une activation non valide Problème récurrent.,software,configuration,normale,Conflit entre logiciels installés,Généraliste,[]
Problème signalé : le port usb ne détecte plus les périphériques Problème urgent.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Mise en place d'un réseau WiFi sécurisé Problème récurrent.,reseau,installation,normale,Mauvaise configuration des paramètres réseau,Généraliste,"[""Point d'accès WiFi""]"
Intervention requise : problème de compatibilité après mise à jour depuis hier.,software,configuration,normale,Conflit entre logiciels installés,Généraliste,[]
Le client indique que récupération de données après formatage Cela se produit souvent.,software,configuration,critique,Infection par malware ou virus,Généraliste,[]
Client signale : l'ordinateur chauffe excessivement,hardware,reparation,faible,Vieillissement de la batterie,Généraliste,"[""Clavier laptop""]"
Problème signalé : le logiciel erp ne se lance plus Problème urgent.,software,installation,normale,Mise à jour défectueuse du système,Généraliste,[]
La carte réseau intégrée ne fonctionne plus,hardware,maintenance,haute,Composant électronique endommagé,Hardware,[]
Intervention requise : le logiciel métier affiche erreur base de données depuis ce matin.,software,installation,normale,Licence expirée ou fichiers corrompus,Généraliste,[]
"Problème signalé : la pile cmos est vide, l'heure se réinitialise Le client a besoin d'aide.",hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""Câble d'alimentation""]"
Intervention requise : le wifi est très lent et instable Le client a besoin d'aide.,reseau,depannage,haute,Problème de sécurité réseau,Généraliste,[]
Signalement client : le logiciel de comptabilité plante depuis hier.,software,installation,haute,Licence expirée ou fichiers corrompus,Software,[]
La souris ne répond plus Le client a besoin d'aide.,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Client signale : l'alimentation électrique ne démarre pas Problème récurrent.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Généraliste,"[""Pâte thermique"", ""Spray air comprimé""]"
Intervention requise : la carte réseau intégrée ne fonctionne plus Problème récurrent.,hardware,reparation,critique,Court-circuit dans l'alimentation,Généraliste,"[""RAM DDR4 8GB""]"
Intervention requise : windows à réinstaller suite à corruption depuis hier.,software,installation,critique,Conflit entre logiciels installés,Software,[]
Le système est bloqué sur l'écran de connexion,software,reparation,haute,Mise à jour défectueuse du système,Généraliste,[]
Intervention requise : la webcam intégrée n'est plus détectée Problème urgent.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Alimentation 500W""]"
Client signale : le scanner ne détecte plus les documents Cela se produit souvent.,hardware,reparation,normale,Connexion interne défaillante,Hardware,"[""RAM DDR4 8GB""]"
Windows demande une activation non valide Le client a besoin d'aide.,software,reparation,faible,Infection par malware ou virus,Généraliste,[]
Intervention requise : le lecteur cd dvd n'ouvre plus Cela se produit souvent.,hardware,reparation,faible,Composant électronique endommagé,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]"
Problème signalé : la batterie du laptop ne charge plus,hardware,maintenance,critique,Défaillance matérielle due à l'usure,Hardware,[]
Intervention requise : le scanner ne détecte plus les documents Problème récurrent.,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Câble d'alimentation""]"
Mise à jour du firmware du routeur,reseau,configuration,normale,Mauvaise configuration des paramètres réseau,Généraliste,[]
Signalement client : désinstallation impossible d'un logiciel Problème urgent.,software,configuration,faible,Erreur de configuration système,Généraliste,[]
Intervention requise : le pare-feu bloque une application métier depuis ce matin.,software,configuration,faible,Conflit entre logiciels installés,Généraliste,[]
Nettoyage complet du système après infection depuis ce matin.,software,configuration,haute,Corruption du système d'exploitation,Généraliste,[]
L'imprimante ne reconnaît plus le papier Cela se produit souvent.,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Écran LCD 15.6\""""]"
Le client indique que sauvegarde et restauration après panne Le client a besoin d'aide.,software,installation,faible,Erreur de configuration système,Généraliste,[]
"Intervention requise : windows ne démarre plus, écran bleu Problème récurrent.",software,configuration,critique,Conflit entre logiciels installés,Software,[]
Client signale : sauvegarde et restauration après panne Cela se produit souvent.,software,configuration,normale,Erreur de configuration système,Software,[]
Problème signalé : configuration du démarrage automatique Le client a besoin d'aide.,software,installation,faible,Licence expirée ou fichiers corrompus,Généraliste,[]
Client signale : la batterie gonfle et déforme le boîtier Le client a besoin d'aide.,hardware,reparation,faible,Court-circuit dans l'alimentation,Hardware,"[""RAM DDR4 8GB""]"
Le scanner ne détecte plus les documents depuis ce matin.,hardware,maintenance,normale,Dommage physique suite à choc,Hardware,[]
Client signale : installation d'un nouveau routeur fibre depuis hier.,reseau,configuration,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 5m""]"
Intervention requise : l'alimentation électrique ne démarre pas,hardware,reparation,faible,Surchauffe causée par poussière accumulée,Généraliste,"[""Ventilateur CPU"", ""Pâte thermique""]"
Intervention requise : le chargeur du laptop est cassé depuis ce matin.,hardware,maintenance,faible,Vieillissement de la batterie,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le disque dur externe n'est plus reconnu Le client a besoin d'aide.,hardware,maintenance,normale,Vieillissement de la batterie,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Le client indique que sécurisation contre les intrusions réseau,reseau,depannage,normale,Incompatibilité de protocoles réseau,Généraliste,[]
Problème signalé : problème de compatibilité après mise à jour Problème récurrent.,software,reparation,normale,Corruption du système d'exploitation,Généraliste,[]
La souris ne répond plus depuis ce matin.,hardware,reparation,normale,Défaillance matérielle due à l'usure,Généraliste,"[""RAM DDR4 8GB""]"
Problème signalé : la carte mère émet des bips au démarrage Cela se produit souvent.,hardware,reparation,normale,Court-circuit dans l'alimentation,Hardware,"[""Batterie laptop""]"
Signalement client : l'alimentation électrique ne démarre pas Problème récurrent.,hardware,maintenance,faible,Connexion interne défaillante,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Problème signalé : le clavier ne fonctionne plus,hardware,maintenance,critique,Connexion interne défaillante,Généraliste,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le scanner ne détecte plus les documents Problème urgent.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Connecteur de charge""]"
Signalement client : la carte mère émet des bips au démarrage Cela se produit souvent.,hardware,reparation,normale,Connexion interne défaillante,Généraliste,"[""Câble d'alimentation""]"
Problème signalé : les drivers de la carte graphique sont corrompus depuis ce matin.,software,installation,faible,Corruption du système d'exploitation,Généraliste,[]
Intervention requise : le switch réseau tombe en panne Problème récurrent.,reseau,configuration,faible,Mauvaise configuration des paramètres réseau,Réseau,"[""Switch 8 ports""]"
Signalement client : le logiciel erp ne se lance plus Problème récurrent.,software,installation,faible,Infection par malware ou virus,Software,[]
Problème signalé : le connecteur de charge est endommagé Le client a besoin d'aide.,hardware,maintenance,normale,Connexion interne défaillante,Généraliste,[]
Le client indique que le navigateur redirige vers des sites inconnus Le client a besoin d'aide.,software,configuration,normale,Infection par malware ou virus,Généraliste,[]
Signalement client : l'imprimante ne reconnaît plus le papier Problème récurrent.,hardware,reparation,faible,Vieillissement de la batterie,Généraliste,"[""Clavier laptop""]"
Le client indique que le port USB ne détecte plus les périphériques depuis hier.,hardware,maintenance,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]"
Intervention requise : le switch réseau tombe en panne depuis hier.,reseau,depannage,faible,Câblage endommagé ou mal branché,Réseau,[]
Problème signalé : l'ordinateur chauffe excessivement Problème urgent.,hardware,reparation,faible,Défaillance matérielle due à l'usure,Généraliste,"[""Clavier laptop""]"
